# Time(ps) Median_Gaussian_Curvature(1/A^2)
13900.0000 -0.00000012
14000.0000 -0.00000017
14100.0000 -0.00000023
14200.0000 -0.00000015
14300.0000 -0.00000015
14400.0000 -0.00000016
14500.0000 -0.00000016
14600.0000 -0.00000018
14700.0000 -0.00000013
14800.0000 -0.00000009
14900.0000 -0.00000008
15000.0000 -0.00000012
15100.0000 -0.00000010
15200.0000 -0.00000012
15300.0000 -0.00000014
15400.0000 -0.00000010
15500.0000 -0.00000011
15600.0000 -0.00000013
15700.0000 -0.00000014
15800.0000 -0.00000018
15900.0000 -0.00000020
16000.0000 -0.00000018
16100.0000 -0.00000025
16200.0000 -0.00000029
16300.0000 -0.00000030
16400.0000 -0.00000025
16500.0000 -0.00000028
16600.0000 -0.00000034
16700.0000 -0.00000022
16800.0000 -0.00000024
16900.0000 -0.00000022
17000.0000 -0.00000021
17100.0000 -0.00000023
17200.0000 -0.00000023
17300.0000 -0.00000020
17400.0000 -0.00000019
17500.0000 -0.00000013
17600.0000 -0.00000020
17700.0000 -0.00000023
17800.0000 -0.00000020
17900.0000 -0.00000007
18000.0000 -0.00000013
18100.0000 -0.00000012
18200.0000 -0.00000019
18300.0000 -0.00000018
18400.0000 -0.00000023
18500.0000 -0.00000015
18600.0000 -0.00000015
18700.0000 -0.00000016
18800.0000 -0.00000024
18900.0000 -0.00000024
19000.0000 -0.00000032
19100.0000 -0.00000028
19200.0000 -0.00000018
19300.0000 -0.00000019
19400.0000 -0.00000022
19500.0000 -0.00000021
19600.0000 -0.00000026
19700.0000 -0.00000018
19800.0000 -0.00000020
19900.0000 -0.00000020
20000.0000 -0.00000024
20100.0000 -0.00000024
20200.0000 -0.00000020
20300.0000 -0.00000022
20400.0000 -0.00000025
20500.0000 -0.00000034
20600.0000 -0.00000026
20700.0000 -0.00000030
20800.0000 -0.00000032
20900.0000 -0.00000037
21000.0000 -0.00000031
21100.0000 -0.00000024
21200.0000 -0.00000026
21300.0000 -0.00000025
21400.0000 -0.00000010
21500.0000 -0.00000007
21600.0000 -0.00000006
21700.0000 -0.00000002
21800.0000 -0.00000005
21900.0000 -0.00000009
22000.0000 0.00000001
22100.0000 -0.00000001
22200.0000 -0.00000001
22300.0000 -0.00000003
22400.0000 0.00000010
22500.0000 0.00000006
22600.0000 0.00000008
22700.0000 0.00000016
22800.0000 0.00000022
22900.0000 0.00000022
23000.0000 0.00000025
23100.0000 0.00000017
23200.0000 0.00000022
23300.0000 0.00000007
23400.0000 0.00000021
23500.0000 0.00000015
23600.0000 0.00000019
23700.0000 0.00000003
23800.0000 0.00000010
23900.0000 0.00000021
24000.0000 0.00000010
24100.0000 0.00000020
24200.0000 0.00000010
24300.0000 0.00000005
24400.0000 0.00000006
24500.0000 0.00000003
24600.0000 -0.00000004
24700.0000 -0.00000002
24800.0000 -0.00000000
24900.0000 0.00000001
25000.0000 0.00000003
25100.0000 0.00000000
25200.0000 0.00000013
25300.0000 -0.00000001
25400.0000 -0.00000002
25500.0000 0.00000001
25600.0000 0.00000002
25700.0000 -0.00000001
25800.0000 -0.00000007
25900.0000 -0.00000007
26000.0000 -0.00000001
26100.0000 -0.00000004
26200.0000 -0.00000003
26300.0000 0.00000001
26400.0000 -0.00000011
26500.0000 -0.00000012
26600.0000 -0.00000002
26700.0000 -0.00000012
26800.0000 -0.00000014
26900.0000 0.00000008
27000.0000 0.00000008
27100.0000 0.00000035
27200.0000 0.00000025
27300.0000 0.00000036
27400.0000 0.00000043
27500.0000 0.00000048
27600.0000 0.00000030
27700.0000 0.00000018
27800.0000 0.00000026
27900.0000 0.00000018
28000.0000 0.00000018
28100.0000 0.00000017
28200.0000 0.00000018
28300.0000 0.00000014
28400.0000 0.00000031
28500.0000 0.00000014
28600.0000 0.00000031
28700.0000 0.00000015
28800.0000 0.00000023
28900.0000 0.00000006
29000.0000 0.00000017
29100.0000 0.00000007
29200.0000 0.00000008
29300.0000 0.00000009
29400.0000 0.00000012
29500.0000 0.00000019
29600.0000 0.00000019
29700.0000 0.00000009
29800.0000 0.00000033
29900.0000 0.00000027
30000.0000 0.00000015
30100.0000 0.00000024
30200.0000 0.00000019
30300.0000 0.00000015
30400.0000 0.00000011
30500.0000 0.00000019
30600.0000 0.00000023
30700.0000 0.00000013
30800.0000 0.00000031
30900.0000 0.00000040
31000.0000 0.00000034
31100.0000 0.00000021
31200.0000 0.00000033
31300.0000 0.00000034
31400.0000 0.00000041
31500.0000 0.00000055
31600.0000 0.00000051
31700.0000 0.00000053
31800.0000 0.00000055
31900.0000 0.00000051
32000.0000 0.00000061
32100.0000 0.00000059
32200.0000 0.00000054
32300.0000 0.00000053
32400.0000 0.00000040
32500.0000 0.00000055
32600.0000 0.00000046
32700.0000 0.00000066
32800.0000 0.00000060
32900.0000 0.00000078
33000.0000 0.00000082
33100.0000 0.00000065
33200.0000 0.00000073
33300.0000 0.00000076
33400.0000 0.00000073
33500.0000 0.00000052
33600.0000 0.00000068
33700.0000 0.00000057
33800.0000 0.00000046
33900.0000 0.00000057
34000.0000 0.00000058
34100.0000 0.00000063
34200.0000 0.00000065
34300.0000 0.00000061
34400.0000 0.00000056
34500.0000 0.00000051
34600.0000 0.00000054
34700.0000 0.00000047
34800.0000 0.00000027
34900.0000 0.00000021
35000.0000 0.00000019
35100.0000 0.00000019
35200.0000 0.00000032
35300.0000 0.00000036
35400.0000 0.00000023
35500.0000 0.00000028
35600.0000 0.00000027
35700.0000 0.00000033
35800.0000 0.00000021
35900.0000 0.00000019
36000.0000 0.00000045
36100.0000 0.00000036
36200.0000 0.00000033
36300.0000 0.00000026
36400.0000 0.00000032
36500.0000 0.00000023
36600.0000 0.00000011
36700.0000 0.00000032
36800.0000 0.00000038
36900.0000 0.00000038
37000.0000 0.00000057
37100.0000 0.00000047
37200.0000 0.00000018
37300.0000 0.00000027
37400.0000 0.00000015
37500.0000 0.00000032
37600.0000 0.00000028
37700.0000 0.00000030
37800.0000 0.00000008
37900.0000 0.00000006
38000.0000 0.00000030
38100.0000 0.00000019
38200.0000 0.00000033
38300.0000 0.00000027
38400.0000 0.00000007
38500.0000 0.00000029
38600.0000 0.00000037
38700.0000 0.00000037
38800.0000 0.00000062
38900.0000 0.00000063
39000.0000 0.00000042
39100.0000 0.00000033
39200.0000 0.00000016
39300.0000 0.00000019
39400.0000 0.00000022
39500.0000 0.00000029
39600.0000 0.00000021
39700.0000 0.00000006
39800.0000 0.00000033
39900.0000 0.00000016
40000.0000 0.00000028
40100.0000 0.00000044
40200.0000 0.00000043
40300.0000 0.00000051
40400.0000 0.00000037
40500.0000 0.00000024
40600.0000 0.00000039
40700.0000 0.00000054
40800.0000 0.00000027
40900.0000 0.00000034
41000.0000 0.00000032
41100.0000 0.00000030
41200.0000 0.00000035
41300.0000 -0.00000000
41400.0000 0.00000016
41500.0000 -0.00000009
41600.0000 -0.00000000
41700.0000 -0.00000002
41800.0000 0.00000011
41900.0000 0.00000017
42000.0000 0.00000005
42100.0000 0.00000011
42200.0000 0.00000023
42300.0000 0.00000015
42400.0000 -0.00000008
42500.0000 0.00000003
42600.0000 0.00000002
42700.0000 0.00000004
42800.0000 0.00000002
42900.0000 0.00000008
43000.0000 0.00000015
43100.0000 0.00000028
43200.0000 0.00000023
43300.0000 0.00000025
43400.0000 0.00000016
43500.0000 0.00000019
43600.0000 0.00000050
43700.0000 0.00000045
43800.0000 0.00000070
43900.0000 0.00000069
44000.0000 0.00000046
44100.0000 0.00000029
44200.0000 0.00000046
44300.0000 0.00000033
44400.0000 0.00000040
44500.0000 0.00000037
44600.0000 0.00000037
44700.0000 0.00000030
44800.0000 0.00000049
44900.0000 0.00000043
45000.0000 0.00000090
45100.0000 0.00000063
45200.0000 0.00000052
45300.0000 0.00000042
45400.0000 0.00000067
45500.0000 0.00000075
45600.0000 0.00000058
45700.0000 0.00000075
45800.0000 0.00000055
45900.0000 0.00000062
46000.0000 0.00000060
46100.0000 0.00000083
46200.0000 0.00000101
46300.0000 0.00000101
46400.0000 0.00000122
46500.0000 0.00000135
46600.0000 0.00000143
46700.0000 0.00000160
46800.0000 0.00000160
46900.0000 0.00000209
47000.0000 0.00000269
47100.0000 0.00000242
47200.0000 0.00000228
47300.0000 0.00000215
47400.0000 0.00000226
47500.0000 0.00000179
47600.0000 0.00000225
47700.0000 0.00000198
47800.0000 0.00000248
47900.0000 0.00000278
48000.0000 0.00000308
48100.0000 0.00000280
48200.0000 0.00000248
48300.0000 0.00000280
48400.0000 0.00000317
48500.0000 0.00000327
48600.0000 0.00000308
48700.0000 0.00000303
48800.0000 0.00000325
48900.0000 0.00000339
49000.0000 0.00000349
49100.0000 0.00000373
49200.0000 0.00000427
49300.0000 0.00000421
49400.0000 0.00000421
49500.0000 0.00000384
49600.0000 0.00000445
49700.0000 0.00000414
49800.0000 0.00000500
49900.0000 0.00000425
50000.0000 0.00000427
50100.0000 0.00000424
50200.0000 0.00000391
50300.0000 0.00000414
50400.0000 0.00000481
50500.0000 0.00000468
50600.0000 0.00000390
50700.0000 0.00000349
50800.0000 0.00000381
50900.0000 0.00000373
51000.0000 0.00000353
51100.0000 0.00000328
51200.0000 0.00000340
51300.0000 0.00000349
51400.0000 0.00000315
51500.0000 0.00000291
51600.0000 0.00000331
51700.0000 0.00000307
51800.0000 0.00000303
51900.0000 0.00000301
52000.0000 0.00000326
52100.0000 0.00000335
52200.0000 0.00000318
52300.0000 0.00000307
52400.0000 0.00000337
52500.0000 0.00000337
52600.0000 0.00000384
52700.0000 0.00000366
52800.0000 0.00000361
52900.0000 0.00000392
53000.0000 0.00000398
53100.0000 0.00000378
53200.0000 0.00000392
53300.0000 0.00000432
53400.0000 0.00000481
53500.0000 0.00000528
53600.0000 0.00000470
53700.0000 0.00000546
53800.0000 0.00000531
53900.0000 0.00000582
54000.0000 0.00000537
54100.0000 0.00000583
54200.0000 0.00000598
54300.0000 0.00000600
54400.0000 0.00000493
54500.0000 0.00000570
54600.0000 0.00000595
54700.0000 0.00000621
54800.0000 0.00000583
54900.0000 0.00000678
55000.0000 0.00000635
55100.0000 0.00000664
55200.0000 0.00000641
55300.0000 0.00000641
55400.0000 0.00000620
55500.0000 0.00000606
55600.0000 0.00000612
55700.0000 0.00000621
55800.0000 0.00000621
55900.0000 0.00000627
56000.0000 0.00000752
56100.0000 0.00000757
56200.0000 0.00000862
56300.0000 0.00000816
56400.0000 0.00000807
56500.0000 0.00000788
56600.0000 0.00000748
56700.0000 0.00000796
56800.0000 0.00000733
56900.0000 0.00000726
57000.0000 0.00000844
57100.0000 0.00000844
57200.0000 0.00000854
57300.0000 0.00000927
57400.0000 0.00001008
57500.0000 0.00001005
57600.0000 0.00000995
57700.0000 0.00000989
57800.0000 0.00000962
57900.0000 0.00000957
58000.0000 0.00000983
58100.0000 0.00001007
58200.0000 0.00001019
58300.0000 0.00001057
58400.0000 0.00001017
58500.0000 0.00001050
58600.0000 0.00001027
58700.0000 0.00001017
58800.0000 0.00001018
58900.0000 0.00001069
59000.0000 0.00001114
59100.0000 0.00001026
59200.0000 0.00000957
59300.0000 0.00001009
59400.0000 0.00001002
59500.0000 0.00001042
59600.0000 0.00001034
59700.0000 0.00001049
59800.0000 0.00001032
59900.0000 0.00001041
60000.0000 0.00001122
60100.0000 0.00001090
60200.0000 0.00001099
60300.0000 0.00001145
60400.0000 0.00001179
60500.0000 0.00001184
60600.0000 0.00001166
60700.0000 0.00001231
60800.0000 0.00001191
60900.0000 0.00001237
61000.0000 0.00001212
61100.0000 0.00001169
61200.0000 0.00001189
61300.0000 0.00001264
61400.0000 0.00001220
61500.0000 0.00001223
61600.0000 0.00001327
61700.0000 0.00001231
61800.0000 0.00001245
61900.0000 0.00001304
62000.0000 0.00001326
62100.0000 0.00001304
62200.0000 0.00001268
62300.0000 0.00001263
62400.0000 0.00001332
62500.0000 0.00001325
62600.0000 0.00001304
62700.0000 0.00001236
62800.0000 0.00001222
62900.0000 0.00001265
63000.0000 0.00001247
63100.0000 0.00001282
63200.0000 0.00001336
63300.0000 0.00001405
63400.0000 0.00001373
63500.0000 0.00001400
63600.0000 0.00001379
63700.0000 0.00001302
63800.0000 0.00001374
63900.0000 0.00001343
64000.0000 0.00001425
64100.0000 0.00001456
64200.0000 0.00001501
64300.0000 0.00001458
64400.0000 0.00001568
64500.0000 0.00001595
64600.0000 0.00001616
64700.0000 0.00001575
64800.0000 0.00001560
64900.0000 0.00001576
65000.0000 0.00001628
65100.0000 0.00001715
65200.0000 0.00001700
65300.0000 0.00001727
65400.0000 0.00001705
65500.0000 0.00001650
65600.0000 0.00001656
65700.0000 0.00001731
65800.0000 0.00001721
65900.0000 0.00001685
66000.0000 0.00001739
66100.0000 0.00001612
66200.0000 0.00001788
66300.0000 0.00001815
66400.0000 0.00001837
66500.0000 0.00001833
66600.0000 0.00001810
66700.0000 0.00001733
66800.0000 0.00001853
66900.0000 0.00001844
67000.0000 0.00001861
67100.0000 0.00001816
67200.0000 0.00001874
67300.0000 0.00001972
67400.0000 0.00001988
67500.0000 0.00001946
67600.0000 0.00002011
67700.0000 0.00002010
67800.0000 0.00001936
67900.0000 0.00002036
68000.0000 0.00002032
68100.0000 0.00002005
68200.0000 0.00002067
68300.0000 0.00002081
68400.0000 0.00002078
68500.0000 0.00002174
68600.0000 0.00002146
68700.0000 0.00002229
68800.0000 0.00002130
68900.0000 0.00002066
69000.0000 0.00002106
69100.0000 0.00002138
69200.0000 0.00002098
69300.0000 0.00002046
69400.0000 0.00002112
69500.0000 0.00002084
69600.0000 0.00002185
69700.0000 0.00002280
69800.0000 0.00002231
69900.0000 0.00002292
70000.0000 0.00002308
70100.0000 0.00002341
70200.0000 0.00002435
70300.0000 0.00002417
70400.0000 0.00002436
70500.0000 0.00002326
70600.0000 0.00002377
70700.0000 0.00002401
70800.0000 0.00002517
70900.0000 0.00002520
71000.0000 0.00002478
71100.0000 0.00002401
71200.0000 0.00002439
71300.0000 0.00002469
71400.0000 0.00002569
71500.0000 0.00002518
71600.0000 0.00002599
71700.0000 0.00002565
71800.0000 0.00002639
71900.0000 0.00002605
72000.0000 0.00002473
72100.0000 0.00002493
72200.0000 0.00002659
72300.0000 0.00002604
72400.0000 0.00002614
72500.0000 0.00002644
72600.0000 0.00002550
72700.0000 0.00002622
72800.0000 0.00002641
72900.0000 0.00002562
73000.0000 0.00002729
73100.0000 0.00002831
73200.0000 0.00002814
73300.0000 0.00002736
73400.0000 0.00002711
73500.0000 0.00002702
73600.0000 0.00002749
73700.0000 0.00002699
73800.0000 0.00002751
73900.0000 0.00002867
74000.0000 0.00002854
74100.0000 0.00002806
74200.0000 0.00002878
74300.0000 0.00002913
74400.0000 0.00002809
74500.0000 0.00002989
74600.0000 0.00002938
74700.0000 0.00002936
74800.0000 0.00003056
74900.0000 0.00003209
75000.0000 0.00003104
75100.0000 0.00003155
75200.0000 0.00003129
75300.0000 0.00003064
75400.0000 0.00003112
75500.0000 0.00003243
75600.0000 0.00003301
75700.0000 0.00003203
75800.0000 0.00003219
75900.0000 0.00003175
76000.0000 0.00003166
76100.0000 0.00003188
76200.0000 0.00003181
76300.0000 0.00003117
76400.0000 0.00003108
76500.0000 0.00003248
76600.0000 0.00003311
76700.0000 0.00003379
76800.0000 0.00003294
76900.0000 0.00003333
77000.0000 0.00003310
77100.0000 0.00003392
77200.0000 0.00003461
77300.0000 0.00003381
77400.0000 0.00003570
77500.0000 0.00003592
77600.0000 0.00003631
77700.0000 0.00003636
77800.0000 0.00003605
77900.0000 0.00003659
78000.0000 0.00003712
78100.0000 0.00003684
78200.0000 0.00003744
78300.0000 0.00003768
78400.0000 0.00003748
78500.0000 0.00003772
78600.0000 0.00003817
78700.0000 0.00003863
78800.0000 0.00003764
78900.0000 0.00003747
79000.0000 0.00003824
79100.0000 0.00003849
79200.0000 0.00003855
79300.0000 0.00003850
79400.0000 0.00003841
79500.0000 0.00003864
79600.0000 0.00003826
79700.0000 0.00003833
79800.0000 0.00003926
79900.0000 0.00003962
80000.0000 0.00003923
80100.0000 0.00003883
80200.0000 0.00003896
80300.0000 0.00003772
80400.0000 0.00004038
80500.0000 0.00004108
80600.0000 0.00004049
80700.0000 0.00004070
80800.0000 0.00004057
80900.0000 0.00004139
81000.0000 0.00004099
81100.0000 0.00004116
81200.0000 0.00004065
81300.0000 0.00004128
81400.0000 0.00004045
81500.0000 0.00004110
81600.0000 0.00004095
81700.0000 0.00004093
81800.0000 0.00004108
81900.0000 0.00004056
82000.0000 0.00004150
82100.0000 0.00004155
82200.0000 0.00004140
82300.0000 0.00004196
82400.0000 0.00004151
82500.0000 0.00004266
82600.0000 0.00004115
82700.0000 0.00004161
82800.0000 0.00004248
82900.0000 0.00004171
83000.0000 0.00004232
83100.0000 0.00004300
83200.0000 0.00004384
83300.0000 0.00004276
83400.0000 0.00004233
83500.0000 0.00004242
83600.0000 0.00004254
83700.0000 0.00004270
83800.0000 0.00004213
83900.0000 0.00004380
84000.0000 0.00004388
84100.0000 0.00004350
84200.0000 0.00004274
84300.0000 0.00004305
84400.0000 0.00004290
84500.0000 0.00004325
84600.0000 0.00004285
84700.0000 0.00004251
84800.0000 0.00004372
84900.0000 0.00004264
85000.0000 0.00004282
85100.0000 0.00004343
85200.0000 0.00004388
85300.0000 0.00004298
85400.0000 0.00004453
85500.0000 0.00004368
85600.0000 0.00004375
85700.0000 0.00004423
85800.0000 0.00004448
85900.0000 0.00004461
86000.0000 0.00004388
86100.0000 0.00004510
86200.0000 0.00004519
86300.0000 0.00004503
86400.0000 0.00004456
86500.0000 0.00004578
86600.0000 0.00004519
86700.0000 0.00004495
86800.0000 0.00004537
86900.0000 0.00004501
87000.0000 0.00004577
87100.0000 0.00004561
87200.0000 0.00004486
87300.0000 0.00004510
87400.0000 0.00004540
87500.0000 0.00004616
87600.0000 0.00004592
87700.0000 0.00004646
87800.0000 0.00004717
87900.0000 0.00004692
88000.0000 0.00004566
88100.0000 0.00004619
88200.0000 0.00004616
88300.0000 0.00004631
88400.0000 0.00004679
88500.0000 0.00004707
88600.0000 0.00004703
88700.0000 0.00004718
88800.0000 0.00004723
88900.0000 0.00004758
89000.0000 0.00004717
89100.0000 0.00004683
89200.0000 0.00004688
89300.0000 0.00004711
89400.0000 0.00004608
89500.0000 0.00004693
89600.0000 0.00004695
89700.0000 0.00004622
89800.0000 0.00004735
89900.0000 0.00004673
90000.0000 0.00004781
90100.0000 0.00004728
90200.0000 0.00004748
90300.0000 0.00004801
90400.0000 0.00004723
90500.0000 0.00004771
90600.0000 0.00004728
90700.0000 0.00004778
90800.0000 0.00004821
90900.0000 0.00004984
91000.0000 0.00004968
91100.0000 0.00004951
91200.0000 0.00004822
91300.0000 0.00004921
91400.0000 0.00004855
91500.0000 0.00004787
91600.0000 0.00004942
91700.0000 0.00004830
91800.0000 0.00004918
91900.0000 0.00004959
92000.0000 0.00004910
92100.0000 0.00004899
92200.0000 0.00005016
92300.0000 0.00005020
92400.0000 0.00004995
92500.0000 0.00004968
92600.0000 0.00004981
92700.0000 0.00004978
92800.0000 0.00004883
92900.0000 0.00004839
93000.0000 0.00004987
93100.0000 0.00005047
93200.0000 0.00005089
93300.0000 0.00005039
93400.0000 0.00005042
93500.0000 0.00004992
93600.0000 0.00005003
93700.0000 0.00005084
93800.0000 0.00004934
93900.0000 0.00005159
94000.0000 0.00005039
94100.0000 0.00005081
94200.0000 0.00005059
94300.0000 0.00005035
94400.0000 0.00005140
94500.0000 0.00005182
94600.0000 0.00005114
94700.0000 0.00005161
94800.0000 0.00005193
94900.0000 0.00005138
95000.0000 0.00005203
95100.0000 0.00005232
95200.0000 0.00005160
95300.0000 0.00005200
95400.0000 0.00005135
95500.0000 0.00005214
95600.0000 0.00005117
95700.0000 0.00005220
95800.0000 0.00005140
95900.0000 0.00005147
96000.0000 0.00005240
96100.0000 0.00005239
96200.0000 0.00005152
96300.0000 0.00005173
96400.0000 0.00005242
96500.0000 0.00005153
96600.0000 0.00005161
96700.0000 0.00005199
96800.0000 0.00005134
96900.0000 0.00005209
97000.0000 0.00005208
97100.0000 0.00005248
97200.0000 0.00005189
97300.0000 0.00005199
97400.0000 0.00005225
97500.0000 0.00005058
97600.0000 0.00005178
97700.0000 0.00005210
97800.0000 0.00005207
97900.0000 0.00005281
98000.0000 0.00005299
98100.0000 0.00005199
98200.0000 0.00005196
98300.0000 0.00005200
98400.0000 0.00005206
98500.0000 0.00005261
98600.0000 0.00005315
98700.0000 0.00005321
98800.0000 0.00005240
98900.0000 0.00005290
99000.0000 0.00005290
99100.0000 0.00005286
99200.0000 0.00005227
99300.0000 0.00005273
99400.0000 0.00005324
99500.0000 0.00005251
99600.0000 0.00005372
99700.0000 0.00005242
99800.0000 0.00005265
99900.0000 0.00005306
100000.0000 0.00005284
100100.0000 0.00005295
100200.0000 0.00005340
100300.0000 0.00005278
100400.0000 0.00005315
100500.0000 0.00005300
100600.0000 0.00005238
100700.0000 0.00005305
100800.0000 0.00005338
100900.0000 0.00005291
101000.0000 0.00005292
101100.0000 0.00005299
101200.0000 0.00005321
101300.0000 0.00005293
101400.0000 0.00005441
101500.0000 0.00005390
101600.0000 0.00005328
101700.0000 0.00005405
101800.0000 0.00005271
101900.0000 0.00005285
102000.0000 0.00005325
102100.0000 0.00005305
102200.0000 0.00005237
102300.0000 0.00005251
102400.0000 0.00005371
102500.0000 0.00005274
102600.0000 0.00005288
102700.0000 0.00005294
102800.0000 0.00005381
102900.0000 0.00005303
103000.0000 0.00005427
103100.0000 0.00005340
103200.0000 0.00005309
103300.0000 0.00005382
103400.0000 0.00005355
103500.0000 0.00005276
103600.0000 0.00005319
103700.0000 0.00005267
103800.0000 0.00005394
103900.0000 0.00005374
104000.0000 0.00005253
104100.0000 0.00005348
104200.0000 0.00005328
104300.0000 0.00005327
104400.0000 0.00005304
104500.0000 0.00005285
104600.0000 0.00005334
104700.0000 0.00005316
104800.0000 0.00005335
104900.0000 0.00005319
105000.0000 0.00005341
105100.0000 0.00005265
105200.0000 0.00005341
105300.0000 0.00005380
105400.0000 0.00005327
105500.0000 0.00005351
105600.0000 0.00005435
105700.0000 0.00005297
105800.0000 0.00005314
105900.0000 0.00005336
106000.0000 0.00005344
106100.0000 0.00005235
106200.0000 0.00005324
106300.0000 0.00005340
106400.0000 0.00005264
106500.0000 0.00005213
106600.0000 0.00005246
106700.0000 0.00005315
106800.0000 0.00005270
106900.0000 0.00005321
107000.0000 0.00005332
107100.0000 0.00005336
107200.0000 0.00005363
107300.0000 0.00005391
107400.0000 0.00005271
107500.0000 0.00005331
107600.0000 0.00005356
107700.0000 0.00005369
107800.0000 0.00005327
107900.0000 0.00005405
108000.0000 0.00005321
108100.0000 0.00005309
108200.0000 0.00005307
108300.0000 0.00005392
108400.0000 0.00005370
108500.0000 0.00005323
108600.0000 0.00005265
108700.0000 0.00005318
108800.0000 0.00005383
108900.0000 0.00005294
109000.0000 0.00005277
109100.0000 0.00005345
109200.0000 0.00005237
109300.0000 0.00005332
109400.0000 0.00005367
109500.0000 0.00005260
109600.0000 0.00005291
109700.0000 0.00005377
109800.0000 0.00005293
109900.0000 0.00005257
110000.0000 0.00005288
110100.0000 0.00005319
110200.0000 0.00005378
110300.0000 0.00005356
110400.0000 0.00005283
110500.0000 0.00005387
110600.0000 0.00005289
110700.0000 0.00005263
110800.0000 0.00005385
110900.0000 0.00005383
111000.0000 0.00005308
111100.0000 0.00005410
111200.0000 0.00005292
111300.0000 0.00005423
111400.0000 0.00005335
111500.0000 0.00005239
111600.0000 0.00005285
111700.0000 0.00005255
111800.0000 0.00005341
111900.0000 0.00005313
112000.0000 0.00005253
112100.0000 0.00005327
112200.0000 0.00005319
112300.0000 0.00005320
112400.0000 0.00005317
112500.0000 0.00005335
112600.0000 0.00005354
112700.0000 0.00005347
112800.0000 0.00005358
112900.0000 0.00005359
113000.0000 0.00005370
113100.0000 0.00005295
113200.0000 0.00005357
113300.0000 0.00005330
113400.0000 0.00005290
113500.0000 0.00005260
113600.0000 0.00005309
113700.0000 0.00005237
113800.0000 0.00005241
113900.0000 0.00005355
114000.0000 0.00005313
114100.0000 0.00005380
